a,b,c,d,e,f,g,h
3,8,0.122,0.667,2.458,162.000,100.000,0.618
4,8,0.122,0.667,2.782,162.000,100.000,0.618
5,8,0.121,0.667,2.786,162.000,100.000,0.618
6,8,0.121,0.667,2.789,162.000,100.000,0.618
7,8,0.120,0.667,2.792,162.000,100.000,0.618
8,8,0.119,0.667,2.795,162.000,100.000,0.618
9,8,0.119,0.667,2.798,162.000,100.000,0.618
10,8,0.118,0.667,2.801,162.000,100.000,0.618
11,8,0.118,0.667,3.438,162.000,100.000,0.618
12,8,0.117,0.667,10.473,162.000,100.000,0.618
13,8,0.117,0.667,10.475,162.000,100.000,0.618
14,8,0.116,0.667,10.478,162.000,100.000,0.618
15,8,0.116,0.667,10.481,162.000,100.000,0.618
16,8,0.115,0.667,11.517,162.000,100.000,0.618
17,8,0.115,0.667,11.520,162.000,100.000,0.618
18,8,0.113,0.667,11.523,162.000,100.000,0.618
19,8,0.113,0.667,11.526,162.000,100.000,0.618
20,8,0.115,0.667,11.529,162.000,100.000,0.618
21,8,0.115,0.667,12.212,162.000,100.000,0.618
22,8,0.111,0.667,12.215,162.000,100.000,0.618
23,8,0.111,0.667,12.218,162.000,100.000,0.618
24,8,0.114,0.667,12.219,162.000,100.000,0.618
25,8,0.114,0.667,12.220,162.000,100.000,0.618
26,8,0.110,0.667,12.221,162.000,100.000,0.618
27,8,0.110,0.667,12.222,162.000,100.000,0.618
28,8,0.110,0.667,14.799,162.000,100.000,0.618
29,8,0.109,0.667,15.832,162.000,100.000,0.618
30,8,0.109,0.667,15.833,162.000,100.000,0.618
31,8,0.109,0.667,15.834,162.000,100.000,0.618
32,8,0.109,0.667,15.836,162.000,100.000,0.618
33,8,0.109,0.667,15.836,162.000,100.000,0.618
34,8,0.109,0.667,15.837,162.000,100.000,0.618
35,8,0.109,0.667,15.838,162.000,100.000,0.618
36,8,0.109,0.667,15.839,162.000,100.000,0.618
37,8,0.109,0.667,15.840,162.000,100.000,0.618
38,8,0.109,0.667,18.857,162.000,100.000,0.618
39,8,0.108,0.667,18.858,162.000,100.000,0.618
40,8,0.108,0.667,20.665,162.000,100.000,0.618
41,8,0.108,0.667,20.665,162.000,100.000,0.618
42,8,0.108,0.667,20.666,162.000,100.000,0.618
43,8,0.109,0.667,21.202,162.000,100.000,0.618
44,8,0.109,0.667,21.203,162.000,100.000,0.618
45,8,0.113,0.667,21.204,162.000,100.000,0.618
46,8,0.108,0.667,21.205,162.000,100.000,0.618
47,8,0.110,0.667,21.206,162.000,100.000,0.618
48,8,0.111,0.667,21.207,162.000,100.000,0.618
49,8,0.108,0.667,21.208,162.000,100.000,0.618
50,8,0.108,0.667,21.208,162.000,100.000,0.618
51,8,0.108,0.667,21.209,162.000,100.000,0.618
52,8,0.108,0.667,21.210,162.000,100.000,0.618
53,8,0.108,0.667,21.211,162.000,100.000,0.618
54,8,0.108,0.667,21.211,162.000,100.000,0.618
55,8,0.108,0.667,21.212,162.000,100.000,0.618
56,8,0.108,0.667,21.213,162.000,100.000,0.618
57,8,0.108,0.667,21.214,162.000,100.000,0.618
58,8,0.107,0.667,21.214,162.000,100.000,0.618
59,8,0.108,0.667,21.215,162.000,100.000,0.618
60,8,0.107,0.667,21.216,162.000,100.000,0.618
61,8,0.108,0.667,21.217,162.000,100.000,0.618
62,8,0.107,0.667,21.217,162.000,100.000,0.618
63,8,0.108,0.667,21.218,162.000,100.000,0.618
64,8,0.107,0.667,21.219,162.000,100.000,0.618
65,8,0.108,0.667,21.219,162.000,100.000,0.618
66,8,0.107,0.667,21.220,162.000,100.000,0.618
67,8,0.108,0.667,21.221,162.000,100.000,0.618
68,8,0.107,0.667,23.106,162.000,100.000,0.618
69,8,0.107,0.667,23.107,162.000,100.000,0.618
70,8,0.107,0.667,23.108,162.000,100.000,0.618
71,8,0.107,0.667,23.109,162.000,100.000,0.618
72,8,0.107,0.667,23.109,162.000,100.000,0.618
73,8,0.107,0.667,23.110,162.000,100.000,0.618
74,8,0.107,0.667,23.111,162.000,100.000,0.618
75,8,0.107,0.667,23.112,162.000,100.000,0.618
76,8,0.107,0.667,23.112,162.000,100.000,0.618
77,8,0.109,0.667,23.113,162.000,100.000,0.618
78,8,0.110,0.667,23.114,162.000,100.000,0.618
79,8,0.110,0.667,23.114,162.000,100.000,0.618
80,8,0.107,0.702,23.115,172.000,90.000,0.656
81,8,0.107,0.667,23.116,162.000,100.000,0.618
82,8,0.107,0.706,23.117,171.000,91.000,0.653
83,8,0.107,0.667,23.117,162.000,100.000,0.618
84,8,0.106,0.704,23.118,172.000,90.000,0.656
85,8,0.107,0.692,23.119,166.000,96.000,0.634
86,8,0.106,0.704,25.147,172.000,90.000,0.656
87,8,0.107,0.694,25.148,166.000,96.000,0.634
88,8,0.106,0.704,25.148,171.000,91.000,0.653
89,8,0.106,0.694,25.149,166.000,96.000,0.634
