iterations,fitness,time,samples,tokeep
400,3793.1144048376373,13.319717577,200,100
410,3793.1144048376373,13.477119457,200,100
420,3793.1144048376373,13.733925936,200,100
430,3793.1144048376373,13.929780103,200,100
440,3793.1144048376373,14.167330316,200,100
450,3793.1144048376373,14.422896146,200,100
460,3793.1144048376373,14.636228394,200,100
470,3793.1144048376373,14.849709633,200,100
480,3793.1144048376373,14.868304233,200,100
490,3793.1144048376373,15.21961572,200,100
500,3793.1144048376373,15.551040395,200,100
510,3793.1144048376373,15.562303991,200,100
520,3793.1144048376373,15.570358991,200,100
530,3793.1144048376373,15.791919594,200,100
540,3793.1144048376373,15.798069823,200,100
550,3800.0914978249502,15.997766774,200,100
560,3793.1144048376373,16.15386035,200,100
570,3793.1144048376373,16.376364016,200,100
580,3793.1144048376373,16.494314742,200,100
590,3793.1144048376373,16.502840795,200,100
600,3791.0821116042307,16.638224555,200,100
610,3793.1144048376373,16.880697311,200,100
620,3793.1144048376373,17.064540881,200,100
630,3791.0821116042307,17.236298446,200,100
640,3791.0821116042307,17.244350928,200,100
650,3800.0914978249502,17.414966616,200,100
660,3816.1331641777665,17.578794723,200,100
670,3791.0821116042307,17.766274296,200,100
680,3816.1331641777665,17.791931557,200,100
690,3791.0821116042307,18.027809964,200,100
700,3791.0821116042307,18.202623915,200,100
710,3791.0821116042307,18.358359212,200,100
720,3791.0821116042307,18.488801344,200,100
730,3791.0821116042307,18.498994844,200,100
740,3791.0821116042307,18.735155458,200,100
750,3791.0821116042307,18.744726912,200,100
760,3791.0821116042307,18.915416833,200,100
770,3791.0821116042307,19.05489357,200,100
780,3791.0821116042307,19.158678241,200,100
790,3791.0821116042307,19.276026785,200,100
800,3791.0821116042307,19.396745999,200,100
810,3791.0821116042307,19.696182556,200,100
820,3791.0821116042307,19.75920698,200,100
830,3791.0821116042307,19.904238296,200,100
840,3791.0821116042307,19.918270779,200,100
850,3791.0821116042307,20.018135879,200,100
860,3801.834033427931,20.140725925,200,100
870,3800.0914978249502,20.257248186,200,100
880,3801.834033427931,20.329080618,200,100
890,3801.834033427931,20.419385122,200,100
900,3801.834033427931,20.490201412,200,100
910,3801.834033427931,20.499098885,200,100
920,3791.0821116042307,20.595939576,200,100
930,3791.0821116042307,20.665833443,200,100
940,3791.0821116042307,20.743781775,200,100
950,3791.0821116042307,20.80060521,200,100
960,3816.1331641777665,20.844092628,200,100
970,3816.1331641777665,20.883924868,200,100
980,3816.1331641777665,20.900944851,200,100
990,3791.0821116042307,20.964637857,200,100
1000,3791.0821116042307,21.014614794,200,100
10,2912.9413957262072,0.481068196,200,100
20,3270.587269630641,1.312860059,200,100
30,3347.2506271562092,1.406377836,200,100
40,3363.1847253659766,1.547822677,200,100
50,3396.663923284545,1.962776637,200,100
60,3492.576238934803,2.249689462,200,100
70,3545.4822003383333,2.815656845,200,100
80,3540.1315180825572,3.277807328,200,100
90,3553.946843769743,3.522393598,200,100
100,3542.188047769732,3.932658291,200,100
110,3626.9071471467682,4.244827449,200,100
120,3644.232621938426,4.567926359,200,100
130,3645.341107662328,5.264021256,200,100
140,3730.801605022867,5.574774483,200,100
150,3711.944330745913,5.921904771,200,100
160,3723.999326303107,6.481086282,200,100
170,3728.957951591459,7.07446763,200,100
180,3747.7727537708,7.342838435,200,100
190,3750.2611382537816,7.711896236,200,100
200,3747.97340341944,7.918174331,200,100
210,3762.685317955519,8.269550806,200,100
220,3762.504445784099,8.509827806,200,100
230,3758.464452931996,8.817276713,200,100
240,3770.2553012272806,9.039838646,200,100
250,3774.0446211411386,9.402026034,200,100
260,3783.85657821057,9.621978158,200,100
270,3762.685317955519,9.729468923,200,100
280,3762.685317955519,9.894622853,200,100
290,3762.685317955519,9.902162775,200,100
300,3762.685317955519,10.294873663,200,100
310,3762.685317955519,10.562215561,200,100
320,3762.685317955519,10.793496662,200,100
330,3762.685317955519,11.121979745,200,100
340,3762.685317955519,11.356606461,200,100
350,3762.685317955519,11.807798687,200,100
360,3762.685317955519,12.119377259,200,100
370,3773.796362718647,12.128443696,200,100
380,3762.685317955519,12.348628817,200,100
390,3762.685317955519,12.567145173,200,100
400,3762.685317955519,12.817229985,200,100
410,3762.685317955519,13.090805263,200,100
420,3783.85657821057,13.302513895,200,100
430,3762.685317955519,13.519008471,200,100
440,3762.685317955519,13.723869584,200,100
450,3762.685317955519,13.910717078,200,100
460,3762.685317955519,14.148998217,200,100
470,3762.685317955519,14.383151572,200,100
480,3762.685317955519,14.603957596,200,100
490,3762.685317955519,14.856192878,200,100
500,3762.685317955519,14.997713916,200,100
510,3762.685317955519,15.227357691,200,100
520,3762.685317955519,15.507390863,200,100
530,3762.685317955519,15.605946671,200,100
540,3762.685317955519,15.829115714,200,100
550,3762.685317955519,15.984311426,200,100
560,3762.685317955519,16.198207392,200,100
570,3762.685317955519,16.21510244,200,100
580,3762.685317955519,16.465404062,200,100
590,3762.685317955519,16.544325839,200,100
600,3762.685317955519,16.552916782,200,100
610,3762.685317955519,16.805918253,200,100
620,3762.685317955519,17.023818813,200,100
630,3762.685317955519,17.036731001,200,100
640,3762.685317955519,17.256841486,200,100
650,3762.685317955519,17.627942537,200,100
660,3762.685317955519,17.637299415,200,100
670,3762.685317955519,17.773136479,200,100
680,3762.685317955519,18.071355997,200,100
690,3762.685317955519,18.080569895,200,100
700,3773.796362718647,18.2884698,200,100
710,3773.796362718647,18.45896172,200,100
720,3773.796362718647,18.4693556,200,100
730,3773.796362718647,18.720713008,200,100
740,3773.796362718647,18.730659173,200,100
750,3773.796362718647,18.739531076,200,100
760,3773.796362718647,18.994221147,200,100
770,3773.796362718647,19.088021116,200,100
780,3773.796362718647,19.213493071,200,100
790,3762.685317955519,19.222317116,200,100
800,3762.685317955519,19.416546852,200,100
810,3774.5316685385237,19.499794028,200,100
820,3774.5316685385237,19.506341675,200,100
830,3774.5316685385237,19.646443552,200,100
840,3774.5316685385237,19.702336255,200,100
850,3762.685317955519,19.868256524,200,100
860,3762.685317955519,19.978953889,200,100
870,3762.685317955519,19.985560614,200,100
880,3762.685317955519,20.099159412,200,100
890,3762.685317955519,20.20134293,200,100
900,3762.685317955519,20.358675851,200,100
910,3762.685317955519,20.379408414,200,100
920,3762.685317955519,20.465828655,200,100
930,3753.6759317347996,20.571454428,200,100
940,3780.8015837901453,20.627962329,200,100
950,3762.685317955519,20.657069773,200,100
960,3753.6759317347996,20.697039948,200,100
970,3753.6759317347996,20.79215726,200,100
980,3753.6759317347996,20.825942479,200,100
990,3773.796362718647,20.887691882,200,100
1000,3753.6759317347996,20.949523552,200,100
10,3043.4796172928905,1.375541195,200,100
20,3181.5253594760643,1.726840901,200,100
30,3310.071710406016,2.398141341,200,100
40,3241.1558820489627,3.21260995,200,100
50,3382.591534159895,3.541647795,200,100
